Sector,Cog_PreEmp,Cog_Change,Manual_PreEmp,Manual_Change,Total_PreEmp,Total_Change
Other,2866.0,462374.0,0.0,0.0,2866.0,462374.0
Professional & Business Services,1448.0,293671.0,0.0,0.0,1448.0,293671.0
Manufacturing — Metals & Machinery,0.0,0.0,573.0,64497.0,573.0,64497.0
Real Estate,501.0,167164.0,0.0,0.0,501.0,167164.0
Mining & Extraction,0.0,0.0,246.0,18230.0,246.0,18230.0
Personal Services & Repair,0.0,0.0,210.0,205852.0,210.0,205852.0
Wholesale Trade,168.0,96747.0,0.0,0.0,168.0,96747.0
Energy & Utilities,0.0,0.0,97.0,15574.0,97.0,15574.0
Information & Technology,49.0,55045.0,0.0,0.0,49.0,55045.0
Finance & Insurance,16.0,204390.0,0.0,0.0,16.0,204390.0
Manufacturing — Chemicals & Pharma,0.0,0.0,3.0,8430.0,3.0,8430.0
Manufacturing — Electronics & Tech,0.0,0.0,-3.0,15867.0,-3.0,15867.0
Construction,0.0,0.0,-9.0,50111.0,-9.0,50111.0
Manufacturing — Textiles & Apparel,0.0,0.0,-31.0,3712.0,-31.0,3712.0
Manufacturing — Vehicles & Other Durable,-249.0,22823.0,20.0,28861.0,-229.0,51684.0
Manufacturing — Food & Beverage,0.0,0.0,-367.0,79933.0,-367.0,79933.0
Agriculture & Natural Resources,0.0,0.0,-449.0,45382.0,-449.0,45382.0
"Arts, Entertainment & Recreation",0.0,0.0,-454.0,52533.0,-454.0,52533.0
Government & Non-profit,-552.0,96683.0,0.0,0.0,-552.0,96683.0
Education,-671.0,62117.0,0.0,0.0,-671.0,62117.0
Retail Trade,-909.0,327669.0,0.0,0.0,-909.0,327669.0
Hospitality & Food Service,0.0,0.0,-1983.0,223371.0,-1983.0,223371.0
Healthcare & Social Assistance,-4104.0,353078.0,0.0,0.0,-4104.0,353078.0
Transportation & Logistics,0.0,0.0,-48645.0,3631887.0,-48645.0,3631887.0
