Sector,Industries,Pre_Emp,Job_Change,Pre_Output,Avg_Risk,Total_Exposure,Pct_Change,Change_Per1000
Transportation & Logistics,10,3631925.31,-48645.65,636307772999.57,0.79,3234252.0,-1.339,-13.39
Healthcare & Social Assistance,11,354930.33,-4123.36,50558220480.02,0.38,130357.0,-1.162,-11.62
Hospitality & Food Service,4,223371.48,-1983.2,26695677763.84,0.28,62545.0,-0.888,-8.88
Retail Trade,13,328029.18,-910.22,41459819637.56,0.65,229567.0,-0.277,-2.77
Education,5,77465.23,-778.99,7657823580.86,0.37,23971.0,-1.006,-10.06
Government & Non-profit,10,96683.21,-551.52,18658305207.67,0.25,24172.0,-0.57,-5.7
Agriculture & Natural Resources,25,45382.08,-448.8,11741699622.28,0.22,9983.0,-0.989,-9.89
Manufacturing — Food & Beverage,37,82727.01,-399.75,17688336703.5,0.73,63886.0,-0.483,-4.83
"Arts, Entertainment & Recreation",10,66958.13,-387.21,9449142692.7,0.27,18439.0,-0.578,-5.78
Manufacturing — Vehicles & Other Durable,101,67063.77,-94.26,23361635231.58,0.69,47524.0,-0.141,-1.41
Manufacturing — Textiles & Apparel,22,7453.9,-63.92,2232800713.21,0.77,5101.0,-0.858,-8.58
Construction,11,50695.46,-15.8,9812831243.75,0.37,17860.0,-0.031,-0.31
Manufacturing — Electronics & Tech,38,16683.98,3.82,15897351748.35,0.66,12351.0,0.023,0.23
Information & Technology,12,55045.42,49.11,23351151797.23,0.32,17176.0,0.089,0.89
Manufacturing — Chemicals & Pharma,32,15220.49,57.66,50161597509.27,0.62,9468.0,0.379,3.79
Energy & Utilities,12,16513.56,94.31,22567937699.44,0.55,9083.0,0.571,5.71
Personal Services & Repair,10,216377.56,96.41,25256391976.38,0.35,67544.0,0.045,0.45
Wholesale Trade,23,100575.78,138.2,48727310084.2,0.62,71764.0,0.137,1.37
Mining & Extraction,17,18530.15,248.68,15635504196.34,0.68,13290.0,1.342,13.42
Finance & Insurance,8,277093.83,266.37,94710454534.18,0.7,196521.0,0.096,0.96
Real Estate,4,179610.65,632.62,51722202284.01,0.45,65353.0,0.352,3.52
Manufacturing — Metals & Machinery,64,78704.17,737.23,33556725677.13,0.72,60697.0,0.937,9.37
Professional & Business Services,26,578961.21,3847.85,93478703196.22,0.4,250587.0,0.665,6.65
